calendar.date,days,K4.I.ACT2,K4.II.ACT2,K4.III.ACT2,K4.IV.ACT2,K4.V.ACT2,K4.VI.ACT2,K4.VII.ACT2,K4.VIII.ACT2,,K4.I.PP2AA3,K4.II.PP2AA3,K4.III.PP2AA3,K4.IV.PP2AA3,K4.V.PP2AA3,K4.VI.PP2AA3,K4.VII.PP2AA3,K4.VIII.PP2AA3
140428,605,0.781384105,0.71972932,0.019393448,0.006856505,0.009548116,0.011299175,0.012088547,0.013871921,,0.808435443,0.741217644,0.020050583,0.006979606,0.009715666,0.011613933,0.012543285,0.014184441
140513,620,0.83576941,0.801424464,0.04837107,0.011737787,0.010072725,0.023189677,0.037713196,0.029400651,,1.019584907,0.980174331,0.05893087,0.01430266,0.012194142,0.02831011,0.046037144,0.035721164
140527,634,0.824127845,0.841291594,0.04376207,0.012148417,0.010507739,0.03240986,0.046326923,0.030749168,,1.013861313,1.035190017,0.053880724,0.014933742,0.012944417,0.039964488,0.057088458,0.03788898
140610,648,1.04236713,1.055676176,0.065007273,0.016400647,0.019440699,0.023062569,0.03479732,0.025517636,,1.095831996,1.09833537,0.068951178,0.018295837,0.021782807,0.024659919,0.03829111,0.028239011
140623,661,0.968248843,1.061973121,0.053659041,0.015678518,0.015806798,0.015664233,0.027579324,0.018319185,,1.065835387,1.171082231,0.059987305,0.017457532,0.017300272,0.01754206,0.030049254,0.019863087
140708,676,1.00666206,1.002995019,0.079714394,0.02439627,0.020874716,0.027580496,0.038739789,0.019660994,,1.143127117,1.135281806,0.090125731,0.027458002,0.02381123,0.031691161,0.044201805,0.022273739
140722,690,1.004625907,0.950721441,0.074790863,0.018090883,0.01557321,0.016016133,0.021057818,0.015327769,,1.272246332,1.210573955,0.095728575,0.023243542,0.019919791,0.020443825,0.026931106,0.019706391
140805,704,1.002345431,0.95267691,0.081606282,0.025420126,0.022247324,0.03689846,0.05781501,0.034805443,,1.128303233,1.074451244,0.09395626,0.02872125,0.025210311,0.042413093,0.066606238,0.039949795
140819,718,1.023054262,0.878117301,0.085555682,0.024445503,0.015993754,0.028615458,0.046627505,0.023989134,,1.140244448,0.981730848,0.096329135,0.028004775,0.018029937,0.032336537,0.051584359,0.026477558
140902,732,0.853712491,0.884047038,0.051838814,0.016143819,0.018631816,0.02430995,0.028904611,0.016685832,,0.807788576,0.843164301,0.048859774,0.015152119,0.01754822,0.023162499,0.026983131,0.015843504
140916,746,0.825394773,1.008644375,0.050737384,0.010955516,0.012347991,0.015358382,0.02452834,0.015107567,,0.865279158,1.058054731,0.053307864,0.011564332,0.012987324,0.016163673,0.025786895,0.015841176
