year,month,day,temp
2013,6,20,20.3
2013,6,21,19.2
2013,6,22,21
2013,6,23,22
2013,6,24,22.6
2013,6,25,24.3
2013,6,26,20.9
2013,6,27,23.1
2013,6,28,23.7
2013,6,29,24.2
2013,6,30,23.8
2013,7,1,24.5
2013,7,2,24
2013,7,3,23.3
2013,7,4,24
2013,7,5,26.8
2013,7,6,27.4
2013,7,7,27.6
2013,7,8,28.7
2013,7,9,27.8
2013,7,10,28.1
2013,7,11,28.3
2013,7,12,28.4
2013,7,13,26.9
2013,7,14,24.8
2013,7,15,24
2013,7,16,26.4
2013,7,17,26
2013,7,18,26.8
2013,7,19,25.3
2013,7,20,25.8
2013,7,21,26.1
2013,7,22,25.8
2013,7,23,26.7
2013,7,24,27.2
2013,7,25,28.2
2013,7,26,27.4
2013,7,27,26.4
2013,7,28,26.3
2013,7,29,25.1
2013,7,30,28.1
2013,7,31,26.1
2013,8,1,26.9
2013,8,2,26.9
2013,8,3,26.4
2013,8,4,26
2013,8,5,27.4
2013,8,6,27.7
2013,8,7,27.3
2013,8,8,27.7
2013,8,9,29.1
2013,8,10,28.9
2013,8,11,30
2013,8,12,29.5
2013,8,13,28.2
2013,8,14,28.5
2013,8,15,28.8
2013,8,16,29.1
2013,8,17,28.7
2013,8,18,29.2
2013,8,19,29.8
2013,8,20,29.5
2013,8,21,28.8
2013,8,22,29.3
2013,8,23,28
2013,8,24,25.3
2013,8,25,24.3
2013,8,26,23.9
2013,8,27,23.8
2013,8,28,23.1
2013,8,29,25.5
2013,8,30,26.7
2013,8,31,27.7
2013,9,1,23.1
2013,9,2,23.6
2013,9,3,22.1
2013,9,4,19.9
2013,9,5,22.6
2013,9,6,22.9
2013,9,7,21.9
2013,9,8,22.5
2013,9,9,23
2013,9,10,23.9
2013,9,11,24.4
2013,9,12,26.4
2013,9,13,27.8
2013,9,14,26.1
2013,9,15,22.5
2013,9,16,22.1
2013,9,17,20.3
2013,9,18,21.8
2013,9,19,21.9
2013,9,20,21.2
2013,9,21,22.1
2013,9,22,23.8
2013,9,23,23.7
2013,9,24,22.8
2013,9,25,24.2
2013,9,26,21.4
2013,9,27,19.8
2013,9,28,19.3
2013,9,29,20.3
2013,9,30,21
2013,10,1,22.9
