date,days,RNA.ACT2,RNA.ACT2.log,K4.I.ACT2,K4.II.ACT2,K4.III.ACT2,K4.IV.ACT2,K4.V.ACT2,K4.VI.ACT2,K4.VII.ACT2,K4.VIII.ACT2,K4.NR.ACT2,K4.distNR.ACT2,K27.I.STM,K27.II.STM,K27.III.STM,K27.IV.STM,K27.V.STM,K27.VI.STM,K27.VII.STM,K27.VIII.STM,K27.NR.STM,K27.distNR.STM
140320,566,0.00797495,-2.305164595,0.167990539,0.159920278,0.004979185,0.005247521,0.005882048,0.02356757,0.044179498,0.031843161,0.163955409,0.033196743,0.860574299,0.802841115,0.727305899,0.557661213,0.541882803,0.366983715,0.182116805,0.088971618,0.831707707,0.212690713
140401,578,0.063628761,-1.326010396,0.30257775,0.279561545,0.007115806,0.004573522,0.007159959,0.022358553,0.033425515,0.028055483,0.291069648,0.027946517,0.813723716,0.805900828,0.889645533,0.765074377,0.92871307,0.599229065,0.232519088,0.132159185,0.809812272,0.321302446
140415,592,0.23740244,-0.786493137,0.518181302,0.529780545,0.028656099,0.01549882,0.011764821,0.026273437,0.050174651,0.034659663,0.523980924,0.037035917,0.564007116,0.745948056,0.827352073,0.728648169,0.812754807,0.5010871,0.392801275,0.146305875,0.654977586,0.346731417
140428,605,0.728722334,-0.170200046,0.781384105,0.71972932,0.019393448,0.006856505,0.009548116,0.011299175,0.012088547,0.013871921,0.750556713,0.012419881,0.223882508,0.308694519,0.502053419,0.394940553,0.441173188,0.257722285,0.096322345,0.055906313,0.266288514,0.136650314
140513,620,1.159205883,0.053385228,0.83576941,0.801424464,0.04837107,0.011737787,0.010072725,0.023189677,0.037713196,0.029400651,0.818596937,0.030101175,0.125239122,0.231140375,0.304114997,0.209516072,0.191017132,0.109208075,0.050360015,0.036070033,0.178189749,0.065212708
140527,634,1.214409214,0.067022026,0.824127845,0.841291594,0.04376207,0.012148417,0.010507739,0.03240986,0.046326923,0.030749168,0.83270972,0.036495317,0.055726907,0.078797511,0.140281868,0.081541768,0.094784485,0.038232177,0.016901791,0.018412561,0.067262209,0.02451551
140610,648,1.359032425,0.086198308,1.04236713,1.055676176,0.065007273,0.016400647,0.019440699,0.023062569,0.03479732,0.025517636,1.049021653,0.027792508,0.038974753,0.071298731,0.092471265,0.08920321,0.078908952,0.046842403,0.009387384,0.013521089,0.055136742,0.023250292
140623,661,1.100790765,0.039149796,0.968248843,1.061973121,0.053659041,0.015678518,0.015806798,0.015664233,0.027579324,0.018319185,1.015110982,0.020520914,0.013287025,0.033767691,0.03485288,0.049369752,0.035810993,0.026111792,0.006758067,0.01037377,0.023527358,0.014414543
140708,676,1.200010044,0.066144747,1.00666206,1.002995019,0.079714394,0.02439627,0.020874716,0.027580496,0.038739789,0.019660994,1.00482854,0.028660426,0.02186267,0.036712088,0.049848801,0.053137568,0.044293156,0.040914251,0.015571069,0.008057805,0.029287379,0.021514375
140722,690,2.146751384,0.27097527,1.004625907,0.950721441,0.074790863,0.018090883,0.01557321,0.016016133,0.021057818,0.015327769,0.977673674,0.01746724,0.016199374,0.034244436,0.041299877,0.028288544,0.024074272,0.024259491,0.013823223,0.008801487,0.025221905,0.015628067
140805,704,1.200131688,0.045333104,1.002345431,0.95267691,0.081606282,0.025420126,0.022247324,0.03689846,0.05781501,0.034805443,0.977511171,0.043172971,0.014140428,0.019266443,0.013792728,0.020019238,0.017429016,0.013115598,0.008011554,0.007490397,0.016703436,0.009539183
140819,718,1.138622326,0.035482772,1.023054262,0.878117301,0.085555682,0.024445503,0.015993754,0.028615458,0.046627505,0.023989134,0.950585782,0.033077366,0.012727733,0.016551004,0.008345679,0.00872259,0.00611954,0.006897007,0.005538564,0.008773154,0.014639369,0.007069575
140902,732,1.06383592,0.005478659,0.853712491,0.884047038,0.051838814,0.016143819,0.018631816,0.02430995,0.028904611,0.016685832,0.868879765,0.023300131,0.014649413,0.013326679,0.009827134,0.011333258,0.015356057,0.010093813,0.005009451,0.007718714,0.013988046,0.007607326
140916,746,1.751512867,0.23240716,0.825394773,1.008644375,0.050737384,0.010955516,0.012347991,0.015358382,0.02452834,0.015107567,0.917019574,0.01833143,0.00890285,0.009706694,0.009404789,0.005116101,0.007762762,0.004298627,0.001870618,0.006512213,0.009304772,0.004227153
