sma,coef.RNA.log.ACT2,r.sqr.RNA.log.ACT2,aic.RNA.log.ACT2,loglik.RNA.log.ACT2,coef.RNA.ACT2,r.sqr.RNA.ACT2,aic.RNA.ACT2,loglik.RNA.ACT2,coef.RNA.log.PP2A,r.sqr.RNA.log.PP2A,aic.RNA.log.PP2A,loglik.RNA.log.PP2A,coef.RNA.PP2A,r.sqr.RNA.PP2A,aic.RNA.PP2A,loglik.RNA.PP2A
41,6.31632343441908,0.781287348130795,312.807319656606,-153.403659828303,4.42949465943604,0.491776505424819,432.082834987307,-213.041417493654,6.15423508288305,0.762288297152405,323.239217985329,-158.619608992665,8.78095112399712,0.291293149745197,873.527261898231,-433.763630949116
42,6.32973393692055,0.784850246678882,309.522426934901,-151.761213467451,4.42892439209622,0.49180140164481,432.07303739626,-213.03651869813,6.16631652109161,0.765500736491976,320.531592214709,-157.265796107355,8.78444928009062,0.291607794208859,873.438892282811,-433.719446141405
43,6.34622008682736,0.788427417955757,306.169187812565,-150.084593906283,4.43402166223949,0.492611359146179,431.754026821167,-212.877013410583,6.18178155886731,0.768854385348449,317.665083021633,-155.832541510816,8.78868443579563,0.291702795739882,873.412202869354,-433.706101434677
44,6.35318465030657,0.790003454229854,304.673780760574,-149.336890380287,4.4367846237043,0.493128462107682,431.550093740822,-212.775046870411,6.18897376780555,0.770495722238421,316.246967317133,-155.123483658567,8.80053300694251,0.29243339289554,873.206831638431,-433.603415819216
45,6.36678467235971,0.790250442452572,304.438411570227,-149.219205785114,4.44536156222306,0.493078361884198,431.56986117454,-212.78493058727,6.20198335879221,0.770715141982061,316.05662047189,-155.028310235945,8.82309016009214,0.29278592516144,873.107658779682,-433.553829389841
46,6.37817567235692,0.792200540393291,302.570260010165,-148.285130005083,4.44520995894805,0.492497555494225,431.798880364201,-212.899440182101,6.21192641731797,0.772381083567943,314.605444695826,-154.302722347913,8.82325579733331,0.292491215063654,873.190568743145,-433.595284371573
47,6.39295996445654,0.792142785198045,302.625839722148,-148.312919861074,4.4508569230866,0.491432766722384,432.218059948006,-213.109029974003,6.22512912917991,0.772094082560183,314.856202520009,-154.428101260005,8.83398987288788,0.291852455673586,873.370150643953,-433.685075321977
48,6.41027976506033,0.792603989660135,302.181576199258,-148.090788099629,4.45527916850428,0.490037676075318,432.765944497707,-213.382972248854,6.24034498686894,0.772172217316503,314.787966106262,-154.393983053131,8.84533946463846,0.291207157394882,873.551406492858,-433.775703246429
49,6.41833262682824,0.793004126046312,301.795336482021,-147.897668241011,4.45729845136286,0.489498963087838,432.977108585787,-213.488554292893,6.24727041588184,0.77235162078581,314.631201404945,-154.315600702473,8.85141214424675,0.291028580653754,873.60153721293,-433.800768606465
50,6.42445923953509,0.792929912920444,301.867028563619,-147.933514281809,4.4575636121523,0.488578200645009,433.337512584725,-213.668756292363,6.25172781776206,0.771927397210726,315.001693522537,-154.500846761268,8.8517386903464,0.290475537398174,873.756709483555,-433.878354741777
