calendar.date,days,K27.I.FUS3.mean,K27.II.FUS3.mean,K27.III.FUS3.mean,K27.IV.FUS3.mean,K27.V.FUS3.mean,K27.VI.FUS3.mean,K27.VII.FUS3.mean,K27.VIII.FUS3.mean,,K27.I.FUS3.SD,K27.II.FUS3.SD,K27.III.FUS3.SD,K27.IV.FUS3.SD,K27.V.FUS3.SD,K27.VI.FUS3.SD,K27.VII.FUS3.SD,K27.VIII.FUS3.SD,,K27.I.STM.mean,K27.II.STM.mean,K27.III.STM.mean,K27.IV.STM.mean,K27.V.STM.mean,K27.VI.STM.mean,K27.VII.STM.mean,K27.VIII.STM.mean,,K27.I.STM.SD,K27.II.STM.SD,K27.III.STM.SD,K27.IV.STM.SD,K27.V.STM.SD,K27.VI.STM.SD,K27.VII.STM.SD,K27.VIII.STM.SD
13 Aug. 2013,347,0.022397244,0.031057373,0.021226889,0.015152623,0.016811238,0.010446463,0.007300538,0.011610451,,0.00139904,0.009593091,0.004594534,0.005619707,0.00760515,0.00299925,0.001150111,0.002053615,,0.017789931,0.023961159,0.017149488,0.011901662,0.012870379,0.008495134,0.005860774,0.009256057,,0.0036349,0.005227755,0.006054811,0.004956406,0.005354152,0.003611293,0.001768768,0.002621329
27 Aug. 2013,361,0.024558574,0.036554532,0.020035268,0.024541251,0.019158206,0.007552256,0.004889063,0.009300868,,0.014508768,0.012441718,0.014176949,0.006227442,0.005269323,0.003747184,0.001974098,0.002883005,,0.01781585,0.024808864,0.012796824,0.016371265,0.012745517,0.005147234,0.003397484,0.00609628,,0.012760976,0.009743344,0.00717083,0.004545473,0.003599192,0.002411099,0.001785789,0.001098995
10 Sep. 2013,375,0.01782706,0.030548615,0.015060059,0.016278112,0.013757732,0.030145843,0.038436924,0.011713732,,0.005707986,0.005921155,0.003567745,0.003296556,0.002645482,0.041936662,0.067036319,0.002363574,,0.01410894,0.02390947,0.011863918,0.012766502,0.010826024,0.0237676,0.030684555,0.009411656,,0.004597307,0.00282466,0.002372455,0.001745737,0.001736794,0.033561748,0.053427699,0.002567003
24 Sep. 2013,389,0.029565366,0.03299997,0.012942298,0.013067713,0.014190309,0.004883103,0.003031658,0.007411351,,0.005454923,0.011733741,0.003743502,0.005760518,0.002859675,0.001195365,0.000590045,0.001809401,,0.021904893,0.024556513,0.009565526,0.009788993,0.010486178,0.00362501,0.00224889,0.005530951,,0.003970108,0.009068299,0.002636851,0.004492623,0.001829097,0.000925737,0.000449378,0.001500217
8 Oct. 2013,403,0.019022477,0.024557478,0.008844663,0.007080385,0.00851791,0.002741392,0.002112706,0.00916893,,0.003722957,0.003628816,0.002211634,0.001054057,0.00267157,0.000955264,0.000699724,0.00128336,,0.013610306,0.017802475,0.006319057,0.005122955,0.006232355,0.001985088,0.001556508,0.006668235,,0.00197162,0.003450826,0.001229499,0.000858516,0.002301325,0.000738632,0.000657682,0.001366971
22 Oct. 2013,417,0.021251479,0.030892241,0.013546617,0.014383392,0.013325492,0.007004323,0.006305428,0.012097794,,0.009394637,0.008735918,0.008578266,0.009427425,0.013016766,0.004528575,0.003818029,0.005772594,,0.01557883,0.021850468,0.009488864,0.010287966,0.009449862,0.004923443,0.004441941,0.008491518,,0.007190131,0.004178724,0.005686125,0.006471704,0.008968097,0.003032587,0.002552298,0.003679238
5 Nov. 2013,431,0.014947967,0.025981498,0.011318214,0.010137746,0.010383916,0.003683815,0.003131017,0.006524878,,0.00176099,0.00427918,0.002301022,0.003092913,0.003011736,0.001120669,0.001210379,0.001782966,,0.010858128,0.018847049,0.008210001,0.007382099,0.007583947,0.002678563,0.002278835,0.004758404,,0.001293939,0.0028791,0.00161442,0.002350976,0.00239358,0.000823306,0.000882305,0.001411115
19 Nov. 2013,445,0.057327654,0.070049284,0.019782144,0.016371737,0.008929075,0.006038195,0.004410088,0.004633119,,0.014403973,0.026315205,0.011696567,0.00949028,0.002506154,0.001920616,0.005558219,0.001806198,,0.039123496,0.047219808,0.013224875,0.010904336,0.00605549,0.004071186,0.002766156,0.003102251,,0.010410469,0.015610073,0.007073152,0.005711387,0.001568117,0.00104316,0.003338255,0.001007336
3 Dec. 2013,459,0.164720284,0.168131402,0.028796087,0.01362444,0.00540421,0.005708447,0.004565519,0.006885383,,0.030994165,0.055205544,0.011801842,0.007803201,0.001544602,0.003296156,0.001978659,0.003991625,,0.11480645,0.116958463,0.020105897,0.009598202,0.003803892,0.004031099,0.003161558,0.004840237,,0.020574979,0.0365538,0.008386673,0.005722557,0.001219667,0.002439558,0.001266154,0.002903479
17 Dec. 2013,473,0.469276236,0.511542535,0.113445052,0.044624307,0.023553084,0.0134612,0.006493331,0.01028326,,0.036579745,0.101104764,0.041608542,0.006727129,0.012006638,0.010663498,0.00325452,0.004428313,,0.30401453,0.341807553,0.07109058,0.029139581,0.015100406,0.009009483,0.004297878,0.007132156,,0.095082801,0.147263874,0.032271369,0.010639766,0.009747507,0.008510258,0.002819663,0.004246062
7 Jan. 2014,494,0.767232062,0.848821549,0.216369443,0.101129013,0.024321558,0.016802712,0.012012714,0.019756473,,0.064418534,0.084413145,0.030155375,0.008317162,0.00540552,0.005871182,0.00236209,0.005118373,,0.537128595,0.592566324,0.151487086,0.070812493,0.017050954,0.011839308,0.008372669,0.013901965,,0.061515118,0.056884858,0.023986691,0.00808226,0.004080656,0.004509033,0.001570939,0.003937498
21 Jan. 2014,508,0.826011282,0.748775356,0.247161276,0.143249019,0.073939785,0.047213328,0.012322866,0.018382249,,0.145727127,0.057705333,0.049220467,0.022643956,0.016137875,0.030839354,0.000874636,0.008830592,,0.525064008,0.479575429,0.153151476,0.088850192,0.048163862,0.031279699,0.00719209,0.01277831,,0.192944246,0.169745961,0.052977919,0.028129997,0.021277768,0.025966362,0.002374933,0.007416243
4 Feb. 2014,522,1.008771565,1.00470093,0.363733952,0.215147283,0.122395005,0.064004431,0.025305429,0.026072162,,0.083135676,0.092244691,0.087039845,0.069616567,0.027818234,0.040701581,0.013216775,0.005628721,,0.696966626,0.69945268,0.2555519,0.151275223,0.085630787,0.045953403,0.01799961,0.017980444,,0.051349028,0.114308553,0.080933456,0.057393054,0.025189639,0.032228875,0.010198024,0.003534019
18 Feb. 2014,536,0.757024834,0.860589342,0.448329638,0.301812153,0.171805125,0.089122588,0.015465303,0.021408224,,0.106462984,0.111569557,0.063545886,0.085779994,0.043283552,0.032255021,0.005735466,0.009882749,,0.548812491,0.627909624,0.325436711,0.217534309,0.124120654,0.064927091,0.011255721,0.015995681,,0.043251548,0.0863489,0.03378893,0.045621602,0.022976956,0.025276499,0.004435933,0.008700934
4 Mar. 2014,550,0.829745413,0.80914544,0.594825826,0.387158295,0.347403514,0.292118393,0.07671313,0.053366873,,0.13112759,0.203850612,0.118567063,0.128207817,0.080554579,0.130294152,0.034008247,0.022028489,,0.597952332,0.586179055,0.430555314,0.281864363,0.250651575,0.212492508,0.05585929,0.03848275,,0.129273531,0.184518343,0.112424358,0.109062989,0.068741875,0.104602222,0.026995041,0.016290981
20 Mar. 2014,566,1.146711512,1.073510576,0.96812134,0.740514558,0.723484854,0.485183168,0.240023465,0.11723196,,0.101924796,0.169738284,0.084744869,0.07112663,0.13404597,0.094686425,0.08896106,0.043192271,,0.860574299,0.802841115,0.727305899,0.557661213,0.541882803,0.366983715,0.182116805,0.088971618,,0.096587616,0.113629133,0.091424355,0.086641877,0.099755052,0.095013973,0.075664484,0.036717992
1 Apr. 2014,578,1.035500444,1.022432715,1.132087889,0.973021389,1.180233764,0.761047485,0.29483223,0.167723395,,0.048716438,0.180571054,0.06508217,0.151219349,0.175900982,0.11846398,0.107898325,0.051164364,,0.813723716,0.805900828,0.889645533,0.765074377,0.92871307,0.599229065,0.232519088,0.132159185,,0.046272128,0.163221408,0.058445425,0.122977294,0.150364927,0.103604913,0.087151527,0.041552084
15 Apr. 2014,592,0.825439951,1.096586878,1.216878022,1.074063798,1.194776826,0.735510195,0.585189625,0.216306943,,0.102943378,0.205847687,0.134479814,0.16406701,0.109462651,0.129925134,0.222699735,0.106614412,,0.564007116,0.745948056,0.827352073,0.728648169,0.812754807,0.5010871,0.392801275,0.146305875,,0.077324017,0.124914618,0.053501211,0.075420115,0.032788427,0.082900187,0.127308638,0.069461205
28 Apr. 2014,605,0.351908016,0.476388162,0.795661056,0.617418621,0.691888316,0.394948153,0.146237098,0.084470045,,0.058264134,0.039659252,0.127098387,0.062561668,0.064363497,0.095112509,0.044246833,0.012885514,,0.223882508,0.308694519,0.502053419,0.394940553,0.441173188,0.257722285,0.096322345,0.055906313,,0.041648513,0.082828379,0.050331209,0.071824021,0.066395825,0.095577333,0.043521222,0.022013942
13-May-14,620,0.175564921,0.326153291,0.427308297,0.296762929,0.269453125,0.156659775,0.072179368,0.052282088,,0.024234932,0.084362394,0.050828853,0.128818625,0.088162017,0.100155648,0.044408458,0.03736952,,0.125239122,0.231140375,0.304114997,0.209516072,0.191017132,0.109208075,0.050360015,0.036070033,,0.015380252,0.048399374,0.017281447,0.079830608,0.055692258,0.062030756,0.02720212,0.023426204
27-May-14,634,0.078244526,0.111381177,0.198015546,0.113921993,0.132737661,0.053668176,0.02380435,0.025788737,,0.008038429,0.022472872,0.024874574,0.029152358,0.042755349,0.024116303,0.018588102,0.008993888,,0.055726907,0.078797511,0.140281868,0.081541768,0.094784485,0.038232177,0.016901791,0.018412561,,0.007522977,0.014079181,0.014251141,0.024240285,0.032076217,0.01721962,0.013025531,0.006593317
10 Jun. 2014,648,0.050800223,0.093124073,0.120156522,0.116221771,0.103083969,0.060570195,0.012184723,0.017702772,,0.013333931,0.040194049,0.04635476,0.07148532,0.048763481,0.041057935,0.00326709,0.007601782,,0.038974753,0.071298731,0.092471265,0.08920321,0.078908952,0.046842403,0.009387384,0.013521089,,0.009250139,0.029782815,0.035999862,0.055059301,0.036491416,0.032733181,0.002535458,0.005413076
23 Jun. 2014,661,0.017063704,0.0445554,0.046034182,0.065782108,0.049385953,0.034918041,0.00871303,0.013770535,,0.007460991,0.016970808,0.036780238,0.058060886,0.043360723,0.030118655,0.00505054,0.003420625,,0.013287025,0.033767691,0.03485288,0.049369752,0.035810993,0.026111792,0.006758067,0.01037377,,0.005997276,0.010632852,0.025809927,0.040747265,0.029562139,0.021085542,0.00362366,0.000878844
8 Jul. 2014,676,0.028153065,0.047547295,0.064539729,0.068763205,0.056834661,0.052660791,0.020735422,0.010549511,,0.008713222,0.015006686,0.03188883,0.024390062,0.02517873,0.024839139,0.012017607,0.003252944,,0.02186267,0.036712088,0.049848801,0.053137568,0.044293156,0.040914251,0.015571069,0.008057805,,0.008606556,0.01464964,0.026826212,0.021346892,0.022156295,0.021064835,0.008267537,0.002898037
22 Jul. 2014,690,0.021384491,0.043344703,0.052778134,0.035762749,0.031184379,0.031252335,0.017553758,0.011379506,,0.006798637,0.035458048,0.03603929,0.02969827,0.015308382,0.017791385,0.013380144,0.006179042,,0.016199374,0.034244436,0.041299877,0.028288544,0.024074272,0.024259491,0.013823223,0.008801487,,0.00657064,0.031455414,0.031902283,0.026279672,0.013823615,0.016277121,0.011797387,0.005389927
5 Aug. 2014,704,0.018204545,0.024900262,0.017803841,0.026058114,0.022522845,0.016873307,0.010291926,0.009563995,,0.00775866,0.010245926,0.007722626,0.017778075,0.015330958,0.008346284,0.006334156,0.00318186,,0.014140428,0.019266443,0.013792728,0.020019238,0.017429016,0.013115598,0.008011554,0.007490397,,0.00594535,0.007508953,0.00584336,0.01331453,0.011620826,0.006385232,0.004951571,0.002624551
19 Aug. 2014,718,0.01576864,0.020626893,0.010630813,0.010908446,0.007796326,0.008692433,0.007007732,0.011155932,,0.010377942,0.009780731,0.001719007,0.005131588,0.000794254,0.001945479,0.002946268,0.003662979,,0.012727733,0.016551004,0.008345679,0.00872259,0.00611954,0.006897007,0.005538564,0.008773154,,0.009208826,0.008788266,0.001285391,0.004651426,0.000452847,0.001811589,0.002310814,0.002927784
2 Sep. 2014,732,0.020143955,0.018259956,0.013499631,0.015554352,0.021066585,0.013890817,0.006840114,0.010616696,,0.00702669,0.007680922,0.004810227,0.008319699,0.011342911,0.006323889,0.006170386,0.001673188,,0.014649413,0.013326679,0.009827134,0.011333258,0.015356057,0.010093813,0.005009451,0.007718714,,0.00507143,0.005752857,0.003523949,0.006141474,0.008390873,0.004616292,0.004602792,0.001145216
16 Sep. 2014,746,0.012371522,0.013354137,0.013026892,0.00708477,0.010805088,0.005950157,0.002568598,0.008986497,,0.002946308,0.00807674,0.005369608,0.002359901,0.004031169,0.001920497,0.002417075,0.004951323,,0.00890285,0.009706694,0.009404789,0.005116101,0.007762762,0.004298627,0.001870618,0.006512213,,0.002430993,0.006136998,0.004153576,0.001834079,0.0029825,0.001537371,0.00182482,0.003806691
