calendar.date,days,K4.I.ACT2.mean,K4.II.ACT2.mean,K4.III.ACT2.mean,K4.IV.ACT2.mean,K4.V.ACT2.mean,K4.VI.ACT2.mean,K4.VII.ACT2.mean,K4.VIII.ACT2.mean,,K4.I.ACT2.SD,K4.II.ACT2.SD,K4.III.ACT2.SD,K4.IV.ACT2.SD,K4.V.ACT2.SD,K4.VI.ACT2.SD,K4.VII.ACT2.SD,K4.VIII.ACT2.SD,,K4.I.PP2AA3.mean,K4.II.PP2AA3.mean,K4.III.PP2AA3.mean,K4.IV.PP2AA3.mean,K4.V.PP2AA3.mean,K4.VI.PP2AA3.mean,K4.VII.PP2AA3.mean,K4.VIII.PP2AA3.mean,,K4.I.PP2AA3.SD,K4.II.PP2AA3.SD,K4.III.PP2AA3.SD,K4.IV.PP2AA3.SD,K4.V.PP2AA3.SD,K4.VI.PP2AA3.SD,K4.VII.PP2AA3.SD,K4.VIII.PP2AA3.SD
13 Aug. 2013,347,0.950802912,0.793603915,0.109465827,0.025180681,0.024435705,0.027523067,0.029052307,0.024558349,,0.055594987,0.072309665,0.011690926,0.005512281,0.005531202,0.00295127,0.004705878,0.0053152,,1.296499636,1.075922292,0.149720494,0.03388108,0.032922966,0.037502408,0.039626618,0.03364883,,0.156436035,0.060404174,0.02672275,0.005589716,0.005652544,0.005099769,0.00734945,0.008667666
27 Aug. 2013,361,1.103350144,0.982085578,0.051509997,0.018058982,0.014097865,0.01252735,0.022038419,0.013710426,,0.214988702,0.109615158,0.014301705,0.003117365,0.002952062,0.002748715,0.007583419,0.004974845,,1.274732355,1.133999848,0.059825388,0.02085287,0.016362198,0.01437071,0.025311342,0.015713276,,0.253236232,0.138171689,0.018691929,0.003646894,0.003980087,0.002680681,0.008121939,0.005242707
10 Sep. 2013,375,1.112338578,0.866384486,0.067855589,0.014383583,0.015961343,0.03611915,0.067188318,0.049014246,,0.265298519,0.175840258,0.017041853,0.006152234,0.004539383,0.036499676,0.078418888,0.043418641,,1.212938629,0.961064645,0.073816268,0.016139824,0.017419527,0.039428664,0.072506411,0.051496545,,0.192685265,0.216172375,0.013433749,0.007538684,0.003689383,0.035794644,0.076676461,0.041504332
24 Sep. 2013,389,0.922762938,0.954496682,0.040300511,0.011498419,0.010163009,0.014645732,0.014461146,0.014758135,,0.092438738,0.140614922,0.00789249,0.002889359,0.001965516,0.009790737,0.00602539,0.010499287,,1.105276314,1.139954391,0.048697614,0.013784159,0.012211565,0.017740037,0.017292444,0.017616451,,0.085275896,0.116532865,0.011636083,0.003416547,0.002547872,0.012693994,0.007251351,0.012691521
8 Oct. 2013,403,0.826029073,0.807146662,0.044526691,0.009518691,0.009125888,0.014579528,0.024143627,0.020928107,,0.151564753,0.092674239,0.010665881,0.004311893,0.003090175,0.004133135,0.014462227,0.008220168,,1.07003059,1.054044903,0.05696023,0.012374619,0.011696226,0.018692896,0.030078603,0.026341045,,0.119942628,0.138491933,0.004884914,0.005199547,0.002530967,0.003195661,0.015275651,0.006915786
22 Oct. 2013,417,0.885398072,0.941198133,0.025463194,0.008521457,0.008509129,0.011523763,0.025280501,0.019914607,,0.094858103,0.125792489,0.006318109,0.002573367,0.006863328,0.001664648,0.012623415,0.007696018,,1.101474105,1.18196496,0.031530082,0.010669648,0.010505019,0.014335114,0.033022711,0.025186875,,0.10109738,0.227046091,0.007212752,0.003340215,0.008455115,0.001980632,0.019715095,0.011558157
5 Nov. 2013,431,1.01217287,1.047445658,0.02547978,0.009976518,0.008756682,0.023425885,0.0472696,0.0402083,,0.02790953,0.044258613,0.003645103,0.002398406,0.001623058,0.007762903,0.027451676,0.010639316,,1.283793874,1.330170867,0.03232709,0.013029556,0.011348848,0.031006068,0.060730488,0.05100444,,0.309655031,0.332024258,0.008835979,0.005869196,0.004478046,0.017351103,0.036560898,0.016764119
19 Nov. 2013,445,0.838531515,0.797617831,0.015354349,0.007407886,0.008055089,0.071490033,0.164368863,0.075567455,,0.067768491,0.067985248,0.003923689,0.002872881,0.003113347,0.034464634,0.020955038,0.032308055,,1.127798234,1.073093163,0.020597805,0.009929532,0.010891779,0.097782368,0.223603877,0.10247894,,0.069911929,0.076633053,0.005032714,0.003845541,0.004429198,0.05050035,0.038733904,0.046311096
3 Dec. 2013,459,0.630977938,0.592871018,0.007670998,0.004918268,0.010738407,0.158999758,0.48268736,0.207198098,,0.069527755,0.0737802,0.003133192,0.001123097,0.002955341,0.014355689,0.050968547,0.011547375,,0.865245246,0.814753985,0.010739432,0.00683974,0.014861966,0.219177763,0.662332028,0.28423305,,0.107585753,0.125880637,0.005022329,0.002007322,0.004998849,0.035412419,0.086622405,0.024346631
17 Dec. 2013,473,0.333486114,0.306949675,0.004843292,0.004195343,0.011189047,0.123635153,0.255477435,0.12577243,,0.142784345,0.131646386,0.003287149,0.002304773,0.006422562,0.045354335,0.101639995,0.046064207,,0.484419991,0.443735593,0.0068938,0.005915577,0.015973153,0.180303453,0.37084635,0.184457995,,0.171428251,0.147279384,0.004314732,0.002845826,0.00723153,0.043192325,0.107169066,0.049763123
7 Jan. 2014,494,0.249712146,0.233322121,0.004787725,0.00448057,0.007158746,0.312193743,0.590805405,0.327012298,,0.035487543,0.039026529,0.001176864,0.001695918,0.0014754,0.022416222,0.117860827,0.035618567,,0.361844655,0.336399255,0.006799769,0.006381306,0.01031484,0.453946265,0.85495635,0.470543193,,0.066646117,0.054055259,0.001172307,0.0022174,0.001923469,0.073984869,0.193292741,0.034626094
21 Jan. 2014,508,0.154730444,0.12408009,0.002926293,0.003261206,0.006446773,0.283955025,0.512067275,0.263534,,0.055279401,0.045756821,0.001504348,0.001367774,0.003903746,0.136577095,0.274478137,0.11958027,,0.212868321,0.17070133,0.004022777,0.00449185,0.00892557,0.39288595,0.708670725,0.36441875,,0.07948428,0.065902304,0.002071659,0.001966297,0.005545115,0.201028173,0.398603696,0.17764439
4 Feb. 2014,522,0.171565821,0.172316148,0.002970349,0.00267903,0.005685401,0.197514033,0.44107008,0.223463355,,0.030784011,0.020978303,0.000699741,0.001164552,0.001632637,0.075474949,0.139326291,0.069290718,,0.239063359,0.240083233,0.00416809,0.003974734,0.007774793,0.274253193,0.608975105,0.304337928,,0.045979059,0.028327198,0.001184148,0.002405258,0.001368449,0.105778422,0.178892018,0.058005541
18 Feb. 2014,536,0.120093434,0.114371104,0.003478841,0.003607641,0.004602931,0.123079235,0.259196615,0.141450438,,0.028569532,0.03587379,0.001122396,0.0018385,0.00170252,0.068530438,0.095970653,0.052330384,,0.224692593,0.198510388,0.006709,0.005978939,0.008466831,0.248755008,0.509720958,0.27568151,,0.120230019,0.048627252,0.004462356,0.002068967,0.004592709,0.222813527,0.364983765,0.197321274
4 Mar. 2014,550,0.130926985,0.126988957,0.005356682,0.00429918,0.005896309,0.074113678,0.134705875,0.082858033,,0.022869511,0.03302375,0.002111365,0.001781834,0.002189076,0.031819218,0.057185351,0.028149714,,0.166521448,0.15961155,0.007091376,0.005485075,0.007755384,0.09098029,0.16736128,0.104052748,,0.016621169,0.020176064,0.003339914,0.002366292,0.003460109,0.019677456,0.047160497,0.026776978
20 Mar. 2014,566,0.167990539,0.159920278,0.004979185,0.005247521,0.005882048,0.02356757,0.044179498,0.031843161,,0.027417209,0.027321153,0.002604253,0.002289773,0.001603259,0.004349582,0.010320021,0.012134019,,0.271513326,0.258518469,0.007897099,0.008358044,0.009553825,0.037808544,0.070817586,0.050263119,,0.043588992,0.045598219,0.0039347,0.003422552,0.002900422,0.003985768,0.012975248,0.013947615
1 Apr. 2014,578,0.30257775,0.279561545,0.007115806,0.004573522,0.007159959,0.022358553,0.033425515,0.028055483,,0.013359875,0.018884301,0.000892543,0.001552957,0.001014345,0.008937939,0.021601344,0.011764636,,0.437186852,0.405221744,0.01031148,0.006541525,0.010362352,0.032313155,0.049081473,0.041086683,,0.009159839,0.04314325,0.001561135,0.001899375,0.001603777,0.013135685,0.032570314,0.018285012
15 Apr. 2014,592,0.518181302,0.529780545,0.028656099,0.01549882,0.011764821,0.026273437,0.050174651,0.034659663,,0.080577518,0.082553332,0.012021593,0.005169097,0.002527946,0.005487803,0.022354533,0.010192129,,0.59709701,0.607909077,0.033917218,0.018043997,0.013499121,0.030270854,0.061143777,0.039205944,,0.099540403,0.072824128,0.016607476,0.006363301,0.002234748,0.006314562,0.038014403,0.007288394
28 Apr. 2014,605,0.781384105,0.71972932,0.019393448,0.006856505,0.009548116,0.011299175,0.012088547,0.013871921,,0.059898643,0.117491135,0.005637515,0.002766017,0.004574782,0.002802988,0.002221956,0.004174786,,0.808435443,0.741217644,0.020050583,0.006979606,0.009715666,0.011613933,0.012543285,0.014184441,,0.05894756,0.082678712,0.005928975,0.002433412,0.004087701,0.002424926,0.002551866,0.003631487
13-May-14,620,0.83576941,0.801424464,0.04837107,0.011737787,0.010072725,0.023189677,0.037713196,0.029400651,,0.080075887,0.01785317,0.006823349,0.002083667,0.003870709,0.002351947,0.002861805,0.00775309,,1.019584907,0.980174331,0.05893087,0.01430266,0.012194142,0.02831011,0.046037144,0.035721164,,0.06106765,0.042336278,0.006109284,0.002174719,0.004262342,0.002323984,0.002202624,0.008281326
27-May-14,634,0.824127845,0.841291594,0.04376207,0.012148417,0.010507739,0.03240986,0.046326923,0.030749168,,0.060541682,0.070726908,0.009107046,0.004381227,0.003402722,0.02308005,0.017856178,0.008194927,,1.013861313,1.035190017,0.053880724,0.014933742,0.012944417,0.039964488,0.057088458,0.03788898,,0.078862992,0.094254225,0.011564312,0.005372077,0.00427247,0.028652577,0.022458584,0.010407845
10 Jun. 2014,648,1.04236713,1.055676176,0.065007273,0.016400647,0.019440699,0.023062569,0.03479732,0.025517636,,0.170528044,0.205163415,0.013456131,0.007100631,0.008639969,0.0014815,0.006886042,0.008238175,,1.095831996,1.09833537,0.068951178,0.018295837,0.021782807,0.024659919,0.03829111,0.028239011,,0.166279257,0.052408066,0.017952229,0.010181211,0.013519471,0.004960839,0.014159601,0.011777844
23 Jun. 2014,661,0.968248843,1.061973121,0.053659041,0.015678518,0.015806798,0.015664233,0.027579324,0.018319185,,0.104531486,0.099612363,0.011085894,0.004851104,0.007028904,0.006105962,0.012858652,0.005671615,,1.065835387,1.171082231,0.059987305,0.017457532,0.017300272,0.01754206,0.030049254,0.019863087,,0.203987777,0.231598748,0.019609416,0.006582755,0.007803622,0.007773438,0.014166653,0.005943575
8 Jul. 2014,676,1.00666206,1.002995019,0.079714394,0.02439627,0.020874716,0.027580496,0.038739789,0.019660994,,0.052708212,0.08612695,0.00979064,0.005807883,0.003000119,0.008076075,0.007489479,0.003422911,,1.143127117,1.135281806,0.090125731,0.027458002,0.02381123,0.031691161,0.044201805,0.022273739,,0.116109032,0.0929451,0.010072822,0.005225306,0.004881078,0.011195494,0.010812064,0.00417365
22 Jul. 2014,690,1.004625907,0.950721441,0.074790863,0.018090883,0.01557321,0.016016133,0.021057818,0.015327769,,0.164922,0.10806243,0.007904188,0.006192396,0.006024231,0.006958635,0.001327732,0.003649078,,1.272246332,1.210573955,0.095728575,0.023243542,0.019919791,0.020443825,0.026931106,0.019706391,,0.105738589,0.119986682,0.013767243,0.008646812,0.008066649,0.009193506,0.002939794,0.005573565
5 Aug. 2014,704,1.002345431,0.95267691,0.081606282,0.025420126,0.022247324,0.03689846,0.05781501,0.034805443,,0.095273529,0.073075697,0.012801973,0.006317022,0.003495423,0.006099817,0.011029828,0.004058028,,1.128303233,1.074451244,0.09395626,0.02872125,0.025210311,0.042413093,0.066606238,0.039949795,,0.098183754,0.104459799,0.026209708,0.007666073,0.005142194,0.012135847,0.019884787,0.010064046
19 Aug. 2014,718,1.023054262,0.878117301,0.085555682,0.024445503,0.015993754,0.028615458,0.046627505,0.023989134,,0.05621482,0.037782406,0.015076541,0.012026016,0.002613212,0.007867223,0.011432404,0.005818079,,1.140244448,0.981730848,0.096329135,0.028004775,0.018029937,0.032336537,0.051584359,0.026477558,,0.070497775,0.101059603,0.023426529,0.015959208,0.004278685,0.010807094,0.010877822,0.004886486
2 Sep. 2014,732,0.853712491,0.884047038,0.051838814,0.016143819,0.018631816,0.02430995,0.028904611,0.016685832,,0.060151365,0.031430411,0.005148651,0.003673618,0.005216519,0.004885935,0.006274286,0.002024786,,0.807788576,0.843164301,0.048859774,0.015152119,0.01754822,0.023162499,0.026983131,0.015843504,,0.111808868,0.156366055,0.005822345,0.003435875,0.005205286,0.006119944,0.004639986,0.003277704
16 Sep. 2014,746,0.825394773,1.008644375,0.050737384,0.010955516,0.012347991,0.015358382,0.02452834,0.015107567,,0.073897199,0.07301621,0.010506277,0.005014872,0.002274239,0.003300422,0.017235149,0.006438216,,0.865279158,1.058054731,0.053307864,0.011564332,0.012987324,0.016163673,0.025786895,0.015841176,,0.072870977,0.082712927,0.011624809,0.005571475,0.002685085,0.003845282,0.018168088,0.006768167
