date,K27.I.FUS3,K27.II.FUS3,K27.III.FUS3,K27.IV.FUS3,K27.V.FUS3,K27.VI.FUS3,K27.VII.FUS3,K27.VIII.FUS3,K27.I.STM,K27.II.STM,K27.III.STM,K27.IV.STM,K27.V.STM,K27.VI.STM,K27.VII.STM,K27.VIII.STM,K4.I.ACT2,K4.II.ACT2,K4.III.ACT2,K4.IV.ACT2,K4.V.ACT2,K4.VI.ACT2,K4.VII.ACT2,K4.VIII.ACT2,K4.I.PP2AA3,K4.II.PP2AA3,K4.III.PP2AA3,K4.IV.PP2AA3,K4.V.PP2AA3,K4.VI.PP2AA3,K4.VII.PP2AA3,K4.VIII.PP2AA3
130813,0.022585956,0.045089683,0.020599995,0.018735611,0.025358246,0.008412641,0.006392677,0.009466826,0.015591758,0.03112675,0.014220789,0.01293375,0.017505552,0.005807496,0.004413055,0.006535232,0.961160795,0.844384124,0.103642784,0.029841836,0.031924861,0.023371297,0.022365187,0.016723625,1.231120628,1.081545064,0.132752782,0.038223469,0.04089155,0.029935559,0.028646865,0.021420765
130813,0.021460091,0.028834103,0.016342782,0.012748605,0.015421727,0.008553861,0.006803525,0.012339996,0.013932206,0.018719522,0.010609974,0.008276581,0.010012011,0.005553292,0.004416948,0.008011306,0.899538949,0.746450304,0.106481481,0.026879626,0.024364407,0.029347015,0.031586523,0.025777191,1.206201354,1.00092316,0.142782152,0.036043177,0.032670492,0.039351724,0.042354706,0.03456491
130813,0.021242086,0.023651712,0.020525791,0.008421834,0.007194364,0.010005539,0.007025682,0.010511276,0.019927225,0.022187698,0.019255268,0.007900532,0.006749041,0.009386208,0.0065908,0.00986064,1.024643565,0.718043093,0.126684241,0.017188276,0.018704679,0.027491857,0.029302186,0.027883982,1.530656538,1.072643594,0.189246356,0.025676585,0.027941853,0.041068517,0.043772863,0.04165429
130813,0.024300842,0.026653996,0.02743899,0.020704443,0.019270617,0.01481381,0.008980266,0.014123706,0.021708534,0.023810664,0.024511919,0.018495784,0.017214912,0.013233538,0.008022291,0.012617051,0.917868339,0.86553814,0.101054803,0.026812987,0.022748872,0.029882099,0.032955331,0.027848599,1.218020022,1.148577351,0.134100686,0.035581089,0.03018797,0.03965383,0.043732038,0.036955356
130827,0.017488152,0.047571397,0.012083058,0.027790578,0.02332535,0.012032446,0.005140017,0.008639356,0.010155148,0.027624108,0.007016479,0.016137636,0.013544735,0.006987089,0.002984743,0.005016765,1.05480916,0.888116521,0.045710214,0.019501927,0.017746557,0.012184674,0.016078046,0.010376651,1.252473118,1.054543429,0.054275992,0.023156454,0.021072139,0.014467998,0.019090961,0.012321164
130827,0.009829761,0.025665947,0.041118624,0.026102156,0.019395066,0.002887328,0.003127839,0.013531229,0.005511045,0.014389586,0.023053114,0.014634146,0.010873824,0.001618777,0.00175362,0.007586269,1.175757576,1.06783941,0.072354796,0.017362029,0.014970079,0.008769863,0.020745196,0.011118129,1.414361001,1.284542365,0.087038181,0.020885407,0.018008045,0.010549583,0.024955141,0.013374396
130827,0.027490103,0.025896804,0.011348543,0.015361942,0.022256132,0.007274868,0.003722501,0.007174932,0.021508841,0.020262209,0.008879341,0.01201951,0.017413671,0.005692011,0.002912564,0.00561382,1.347128241,1.085764271,0.048006004,0.014059155,0.012799443,0.014466781,0.03304827,0.021081071,1.503716162,1.211971684,0.053586141,0.015693368,0.014287228,0.016148375,0.036889746,0.023531499
130827,0.043426282,0.04708398,0.015590847,0.028910329,0.011656276,0.008014382,0.007565895,0.007857955,0.034088367,0.036959554,0.012238361,0.022693767,0.009149837,0.006291057,0.005939007,0.006168266,0.835705599,0.886622111,0.039968974,0.021312817,0.01087538,0.014688083,0.018282165,0.012265852,0.928379138,0.984941913,0.044401236,0.02367625,0.012081379,0.016316882,0.020309521,0.013626044
130910,0.02609133,0.032565234,0.014345731,0.013312796,0.016019464,0.092813849,0.138976664,0.011402089,0.020802672,0.025964329,0.011437881,0.01061432,0.012772352,0.074000675,0.110806383,0.009090909,1.103745081,1.070118207,0.073960654,0.01850581,0.022490456,0.002450261,0.001178233,0.035268446,1.051661019,1.019620946,0.070470562,0.017632549,0.021429165,0.002334637,0.001122634,0.033604181
130910,0.013160389,0.022467805,0.012366261,0.013745721,0.01046746,0.004893337,0.005130839,0.012104842,0.013009065,0.022209461,0.012224069,0.013587667,0.010347101,0.004837072,0.005071843,0.011965656,0.955252002,0.868530648,0.066636086,0.020093874,0.015580104,0.022288373,0.050703775,0.02292942,1.187088394,1.079320064,0.082808436,0.024970588,0.019361341,0.027697685,0.063009408,0.028494312
