calendar.date,days,K27_VI_FUS3_mean,K27_VII_FUS3_mean,K27_VIII_FUS3_mean,K27_VI_STM_mean,K27_VII_STM_mean,K27_VIII_STM_mean,K4_VI_ACT2_mean,K4_VII_ACT2_mean,K4_VIII_ACT2_mean,K4_VI_PP2AA3_mean,K4_VII_PP2AA3_mean,K4_VIII_PP2AA3_mean,K27_VI_FUS3_SD,K27_VII_FUS3_SD,K27_VIII_FUS3_SD,K27_VI_STM_SD,K27_VII_STM_SD,K27_VIII_STM_SD,K4_VI_ACT2_SD,K4_VII_ACT2_SD,K4_VIII_ACT2_SD,K4_VI_PP2AA3_SD,K4_VII_PP2AA3_SD,K4_VIII_PP2AA3_SD
4 Mar. 2014,550,0.292118393,0.07671313,0.053366873,0.212492508,0.05585929,0.03848275,0.074113678,0.134705875,0.082858033,0.09098029,0.16736128,0.104052748,0.130294152,0.034008247,0.022028489,0.104602222,0.026995041,0.016290981,0.031819218,0.057185351,0.028149714,0.019677456,0.047160497,0.026776978
20 Mar. 2014,566,0.485183168,0.240023465,0.11723196,0.366983715,0.182116805,0.088971618,0.02356757,0.044179498,0.031843161,0.037808544,0.070817586,0.050263119,0.094686425,0.08896106,0.043192271,0.095013973,0.075664484,0.036717992,0.004349582,0.010320021,0.012134019,0.003985768,0.012975248,0.013947615
1 Apr. 2014,578,0.761047485,0.29483223,0.167723395,0.599229065,0.232519088,0.132159185,0.022358553,0.033425515,0.028055483,0.032313155,0.049081473,0.041086683,0.11846398,0.107898325,0.051164364,0.103604913,0.087151527,0.041552084,0.008937939,0.021601344,0.011764636,0.013135685,0.032570314,0.018285012
15 Apr. 2014,592,0.735510195,0.585189625,0.216306943,0.5010871,0.392801275,0.146305875,0.026273437,0.050174651,0.034659663,0.030270854,0.061143777,0.039205944,0.129925134,0.222699735,0.106614412,0.082900187,0.127308638,0.069461205,0.005487803,0.022354533,0.010192129,0.006314562,0.038014403,0.007288394
28 Apr. 2014,605,0.394948153,0.146237098,0.084470045,0.257722285,0.096322345,0.055906313,0.011299175,0.012088547,0.013871921,0.011613933,0.012543285,0.014184441,0.095112509,0.044246833,0.012885514,0.095577333,0.043521222,0.022013942,0.002802988,0.002221956,0.004174786,0.002424926,0.002551866,0.003631487
13 May 2014,620,0.156659775,0.072179368,0.052282088,0.109208075,0.050360015,0.036070033,0.023189677,0.037713196,0.029400651,0.02831011,0.046037144,0.035721164,0.100155648,0.044408458,0.03736952,0.062030756,0.02720212,0.023426204,0.002351947,0.002861805,0.00775309,0.002323984,0.002202624,0.008281326
27 May 2014,634,0.053668176,0.02380435,0.025788737,0.038232177,0.016901791,0.018412561,0.03240986,0.046326923,0.030749168,0.039964488,0.057088458,0.03788898,0.024116303,0.018588102,0.008993888,0.01721962,0.013025531,0.006593317,0.02308005,0.017856178,0.008194927,0.028652577,0.022458584,0.010407845
10 Jun. 2014,648,0.060570195,0.012184723,0.017702772,0.046842403,0.009387384,0.013521089,0.023062569,0.03479732,0.025517636,0.024659919,0.03829111,0.028239011,0.041057935,0.00326709,0.007601782,0.032733181,0.002535458,0.005413076,0.0014815,0.006886042,0.008238175,0.004960839,0.014159601,0.011777844
23 Jun. 2014,661,0.034918041,0.00871303,0.013770535,0.026111792,0.006758067,0.01037377,0.015664233,0.027579324,0.018319185,0.01754206,0.030049254,0.019863087,0.030118655,0.00505054,0.003420625,0.021085542,0.00362366,0.000878844,0.006105962,0.012858652,0.005671615,0.007773438,0.014166653,0.005943575
8 Jul. 2014,676,0.052660791,0.020735422,0.010549511,0.040914251,0.015571069,0.008057805,0.027580496,0.038739789,0.019660994,0.031691161,0.044201805,0.022273739,0.024839139,0.012017607,0.003252944,0.021064835,0.008267537,0.002898037,0.008076075,0.007489479,0.003422911,0.011195494,0.010812064,0.00417365
22 Jul. 2014,690,0.031252335,0.017553758,0.011379506,0.024259491,0.013823223,0.008801487,0.016016133,0.021057818,0.015327769,0.020443825,0.026931106,0.019706391,0.017791385,0.013380144,0.006179042,0.016277121,0.011797387,0.005389927,0.006958635,0.001327732,0.003649078,0.009193506,0.002939794,0.005573565
5 Aug. 2014,704,0.016873307,0.010291926,0.009563995,0.013115598,0.008011554,0.007490397,0.03689846,0.05781501,0.034805443,0.042413093,0.066606238,0.039949795,0.008346284,0.006334156,0.00318186,0.006385232,0.004951571,0.002624551,0.006099817,0.011029828,0.004058028,0.012135847,0.019884787,0.010064046
19 Aug. 2014,718,0.008692433,0.007007732,0.011155932,0.006897007,0.005538564,0.008773154,0.028615458,0.046627505,0.023989134,0.032336537,0.051584359,0.026477558,0.001945479,0.002946268,0.003662979,0.001811589,0.002310814,0.002927784,0.007867223,0.011432404,0.005818079,0.010807094,0.010877822,0.004886486
2 Sep. 2014,732,0.013890817,0.006840114,0.010616696,0.010093813,0.005009451,0.007718714,0.02430995,0.028904611,0.016685832,0.023162499,0.026983131,0.015843504,0.006323889,0.006170386,0.001673188,0.004616292,0.004602792,0.001145216,0.004885935,0.006274286,0.002024786,0.006119944,0.004639986,0.003277704
16 Sep. 2014,746,0.005950157,0.002568598,0.008986497,0.004298627,0.001870618,0.006512213,0.015358382,0.02452834,0.015107567,0.016163673,0.025786895,0.015841176,0.001920497,0.002417075,0.004951323,0.001537371,0.00182482,0.003806691,0.003300422,0.017235149,0.006438216,0.003845282,0.018168088,0.006768167
