date,FLC.ACT2.log10,FLC.ACT2,FLC.PP2A.log10,FLC.PP2A
140204,-2.527470759,0.002968447,-2.064861887,0.008612676
140204,-1.989576432,0.010242915,-1.649573421,0.022409212
140218,-2.429572857,0.003719008,-2.064873781,0.00861244
140218,-2.871921428,0.001343008,-2.615501512,0.00242381
140218,-2.049069571,0.008931624,-1.96877332,0.010745501
140218,-1.647869428,0.022497309,-1.41784104,0.03820841
140304,-3.016027445,0.000963768,-2.780142185,0.001659044
140304,-2.765618412,0.001715464,-2.531663109,0.002939929
140304,-1.371409961,0.042519685,-1.417594697,0.038230088
140304,-1.381037009,0.041587517,-1.102401247,0.078994845
140320,-2.262409453,0.005465005,-1.863218475,0.013701923
140320,-3.078016917,0.00083557,-2.721403345,0.001899314
140320,-1.733695993,0.018463074,-1.509529456,0.030936455
140320,-2.146536015,0.00713615,-1.964284448,0.010857143
140401,-1.564887888,0.027234043,-1.14637032,0.071388734
140401,-1.747735691,0.017875752,-1.388091639,0.040917431
140401,-0.878353883,0.132326284,-0.75297757,0.176612903
140401,-1.113064121,0.077078966,-0.700934252,0.199097473
140415,-0.890455591,0.128689884,-0.549470973,0.282181818
140415,-1.440691989,0.03625,-1.004804191,0.09889989
140415,-0.376921658,0.419834711,-0.249342825,0.563192905
140415,-0.437903309,0.364835165,-0.394437615,0.403238866
140428,-0.43584859,0.36656535,-0.205333662,0.623255814
140428,-0.129016649,0.742990654,0.109730167,1.287449393
140428,0.05085997,1.124242424,0.397940009,2.5
140428,-0.166794916,0.681090909,0.277780833,1.895748988
140513,0.018058188,1.042457091,0.313242948,2.057040998
140513,0.06568347,1.16327788,0.120969761,1.321203639
140513,0.197280558,1.575,0.523864658,3.340909091
140513,-0.067481306,0.856088561,0.286668802,1.934945788
140527,-0.156115291,0.698047071,0.142961841,1.389830508
140527,0.155096493,1.42921147,0.238501057,1.731813246
140527,0.158125272,1.439213658,0.360854506,2.295379538
140527,0.11098163,1.291164659,0.461206394,2.892053973
140610,0.07535743,1.189480782,0.360007856,2.290909091
140610,0.403569524,2.532617038,0.541705603,3.481012658
140610,-0.060107365,0.870748299,0.227540764,1.688654354
140610,-0.074026355,0.843283582,0.279291999,1.902356902
140623,0.118119767,1.31256182,0.320097198,2.08976378
140623,0,1,0.44206748,2.767371601
140623,0.018098222,1.042553191,0.320053233,2.089552239
140623,0.020381193,1.048048048,0.34307025,2.203282828
140708,0.219693438,1.658415842,0.36517696,2.3183391
140708,0.10597357,1.27636113,0.385686011,2.430446194
140708,-0.015685202,0.964527908,0.438277015,2.743323442
140708,-0.04540282,0.900735294,0.125530016,1.335149864
140722,0.192854609,1.559030493,0.420629274,2.634081902
140722,0.151777526,1.418330773,0.38027396,2.40034662
140722,0.100996781,1.261818182,0.404878775,2.540263543
140722,0.638272164,4.347826087,0.669731209,4.674457429
140805,0.286223068,1.932960894,0.517473383,3.292102759
140805,0.122670875,1.326388889,0.100143225,1.259340659
140805,-0.090884389,0.811176969,0.403873709,2.534391534
140805,-0.13667714,0.73,-0.046166308,0.899153195
140819,0.114045712,1.300306435,0.609284066,4.067092652
140819,0.141445977,1.384987893,0.2759534,1.887788779
140819,0.099131473,1.256410256,0.365913625,2.322274882
140819,-0.212692075,0.612784717,0.074210726,1.186344239
140902,-0.043008782,0.905714286,0.189305401,1.546341463
140902,0.226909182,1.686200378,0.537904307,3.450676983
140902,-0.051998276,0.887159533,0.302174382,2.005277045
140902,-0.109987487,0.776269482,0.094176167,1.242156074
140916,0.196816996,1.573319756,0.385130076,2.427336999
140916,0.393344257,2.473684211,0.434769597,2.721257237
140916,0.188100167,1.542056075,0.752845385,5.660377358
140916,0.151367223,1.416991426,0.101533085,1.263377345
